,State,Confirmed,Deaths,Recovered,Mortality Ratio,Latitude,Longitude,USA_State_Code
0,Alabama,147153.0,2488.0,0.0,1.69,32.318231,-86.902298,AL
1,Alaska,7004.0,45.0,0.0,0.64,63.588753000000004,-154.493062,AK
2,Arizona,215284.0,5525.0,0.0,2.57,34.048928000000004,-111.093731,AZ
3,Arkansas,77963.0,1229.0,0.0,1.58,35.20105,-91.83183299999999,AR
4,California,796436.0,15291.0,0.0,1.92,36.778261,-119.41793200000001,CA
5,Colorado,66649.0,2030.0,0.0,3.05,39.550051,-105.782067,CO
6,Connecticut,56315.0,4497.0,0.0,7.99,41.603221000000005,-73.087749,CT
7,Delaware,19830.0,629.0,0.0,3.17,38.910832,-75.52767,DE
8,District of Columbia,15050.0,621.0,0.0,4.13,38.905985,-77.03341800000001,DC
9,Florida,690499.0,13618.0,0.0,1.97,27.664827000000002,-81.515754,FL
10,Georgia,310161.0,6769.0,0.0,2.18,32.157435,-82.907123,GA
11,Hawaii,11689.0,122.0,0.0,1.04,19.898682,-155.66585700000002,HI
12,Idaho,38743.0,454.0,0.0,1.17,44.068202,-114.74204099999999,ID
13,Illinois,281303.0,8744.0,0.0,3.11,40.633125,-89.398528,IL
14,Indiana,113337.0,3530.0,0.0,3.11,40.551217,-85.602364,IN
15,Iowa,82871.0,1298.0,0.0,1.57,41.878003,-93.097702,IA
16,Kansas,54846.0,620.0,0.0,1.13,39.011902,-98.484246,KS
17,Kentucky,63515.0,1124.0,0.0,1.77,37.839333,-84.27001800000001,KY
18,Louisiana,162645.0,5407.0,0.0,3.32,31.244822999999997,-92.14502399999999,LA
19,Maine,5170.0,140.0,0.0,2.71,45.253783,-69.44546899999999,ME
20,Maryland,121297.0,3902.0,0.0,3.22,39.045755,-76.641271,MD
21,Massachusetts,128512.0,9347.0,0.0,7.27,42.407211,-71.382437,MA
22,Michigan,131259.0,7013.0,0.0,5.34,44.314844,-85.602364,MI
23,Minnesota,92100.0,2037.0,0.0,2.21,46.729553,-94.6859,MN
24,Mississippi,94573.0,2870.0,0.0,3.03,32.354668,-89.398528,MS
25,Missouri,118205.0,1938.0,0.0,1.64,37.964253,-91.83183299999999,MO
26,Montana,10912.0,165.0,0.0,1.51,46.879682,-110.36256599999999,MT
27,Nebraska,42278.0,462.0,0.0,1.09,41.492537,-99.901813,NE
28,Nevada,76807.0,1556.0,0.0,2.03,38.802609999999994,-116.419389,NV
29,New Hampshire,8007.0,438.0,0.0,5.47,43.193852,-71.572395,NH
30,New Jersey,200988.0,16082.0,0.0,8.0,40.058324,-74.405661,NJ
31,New Mexico,27987.0,857.0,0.0,3.06,34.97273,-105.03236299999999,NM
32,New York,451892.0,33090.0,0.0,7.32,43.299428000000006,-74.217933,NY
33,North Carolina,196500.0,3316.0,0.0,1.69,35.759572999999996,-79.0193,NC
34,North Dakota,18981.0,203.0,0.0,1.07,47.551493,-101.002012,ND
35,Ohio,146753.0,4687.0,0.0,3.19,40.417287,-82.907123,OH
36,Oklahoma,80161.0,970.0,0.0,1.21,35.007752,-97.092877,OK
37,Oregon,31503.0,538.0,0.0,1.71,43.804133,-120.554201,OR
38,Pennsylvania,157336.0,8038.0,0.0,5.11,41.203322,-77.194525,PA
39,Puerto Rico,42660.0,617.0,0.0,1.45,18.220833,-66.590149,PR
40,Rhode Island,24177.0,1102.0,0.0,4.56,41.580095,-71.477429,RI
41,South Carolina,141686.0,3262.0,0.0,2.3,33.836081,-81.163725,SC
42,South Dakota,19634.0,202.0,0.0,1.03,43.969515,-99.901813,SD
43,Tennessee,186798.0,2277.0,0.0,1.22,35.517491,-86.58044699999999,TN
44,Texas,742913.0,15372.0,0.0,2.07,31.968598999999998,-99.901813,TX
45,Utah,65921.0,444.0,0.0,0.67,39.32098,-111.093731,UT
46,Vermont,1722.0,58.0,0.0,3.37,44.558803000000005,-72.577841,VT
47,Virginia,142459.0,3087.0,0.0,2.17,37.431573,-78.656894,VA
48,Washington,83702.0,2081.0,0.0,2.49,47.751073999999996,-120.74013899999999,WA
49,West Virginia,14515.0,322.0,0.0,2.22,38.597626,-80.454903,WV
50,Wisconsin,105932.0,1259.0,0.0,1.19,43.784440000000004,-88.787868,WI
51,Wyoming,5169.0,50.0,0.0,0.97,43.075967999999996,-107.29028400000001,WY
